plaintext_letter,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19
a,1.24423128469159,-0.6535365432246135,0.8007441073488959,0.5394569655252861,-0.9101744469923079,-0.5552018557002228,-0.9959511286927386,0.3744260717242302,0.6737253825482777,-0.27608632632185964,0.8082382601294997,-0.8686650497403222,0.26296182341688046,-0.13234422523557587,0.47115995060151816,0.3108114348288669,0.13203268786872563,-0.07117749592960655,0.14319647922694068,0.06429375280148722
b,3.1378911420194417,0.16161610676375057,-1.0075955631007754,-2.7041277316645247,-1.6949968458117286,-1.2570212381761166,0.398738800998336,-0.19618441945082923,0.32089005176089386,0.5404461113279493,-0.05709342180498074,0.33597457483162985,-0.3035143222018247,-0.519207630081783,-0.1450347355720594,-0.08196236348249504,0.0337489282092249,0.011189607376490983,-0.03308209676601177,-0.02336700807892279
c,0.9420243818916406,0.7263554440669713,1.1905237834925415,-0.5155059643106946,0.2889442954085321,0.8202690460226748,0.11326110913585061,-0.3465801625919973,-0.18947469133921596,-0.18963113462350975,-0.022119608781452995,0.04390773853390743,-0.5770899349906188,0.17450659626245935,-0.09190557946576212,-0.27829489552012154,0.597708214378038,0.09677185624474792,-0.05013060924846808,-0.13205054819999162
d,0.7220689148876479,-0.027003760726721882,0.4033607169272686,-0.36243017709747904,-0.10552362638911109,-0.3480843911498939,0.2875874221941316,0.9995064828390302,-0.23658134882347034,0.5040631626102601,1.0905218230880114,0.048095215847311655,-0.24371387968184197,0.04898854131941001,-0.02993731702920954,-0.25667232730547396,0.12110020889608786,-0.23162341545444323,-0.009883031396892575,0.15067620227618442
e,2.4439317775360507,-1.773858697956609,1.3768199709734292,-0.023283481843801242,0.15196783095152797,0.39023597103902885,-1.4364511983780637,-0.571039665156403,0.6537964373906572,0.8350267955108563,-0.35182354119867343,-0.08465892449251533,-0.07005715955078896,-0.23924304503745228,0.44841183177511645,0.08745065524098665,0.08765522916823024,-0.022673596706891046,0.07593827510341135,-0.17816217028858353
f,1.7293351883710848,-0.795895138649107,-0.7036069924390582,0.24792103464176035,1.1747231319863023,0.5457459164014228,1.2248890962731978,0.3101524759251898,0.5923969728732531,-0.8720185219498546,0.5055274533583277,0.0861780535163,0.3872807764899027,-0.7149106592973208,-0.050971144627754775,0.14963528779568339,0.06857830536750635,-0.47210292600447995,-0.0029680356513886947,-0.2714088667962172
g,0.4306313739227446,0.1459258806123766,0.5987298660346896,-0.03233780635693953,-0.01935541011611909,-0.10021205416330024,0.10915534557941894,1.3769726866279897,-0.024398925593664807,-0.20835224356155235,0.9133512134148954,-0.31899775199441627,-0.338538191205053,0.2697708352474779,-0.28536500140270055,-0.10257119235315657,0.3873638182294597,0.03537056845663919,-0.14738237528061146,-0.0887499069765012
h,0.7223363865419818,0.1150460814636242,1.1446640177597462,0.7196390695374311,0.1764198459054181,-1.2292870333846027,0.8321210694359693,-0.2010706725503197,-0.6442699319342526,-0.5545052228099413,-0.23285489343359883,1.1679203581178446,-0.3431427937745716,-0.38014857618122144,0.5208868044443515,0.6063502132641927,0.12403595073567096,0.0443457238587643,-0.08808237744544584,0.12937826179199663
i,0.8307113430594921,-0.3708200243140439,1.511775864864059,0.13915160330003443,0.08980176702268676,-0.048767714712064945,-0.71041340493106,0.4781355684124128,-0.5264895667366261,-0.5654843624211358,0.42595767825730024,-0.13211445382299955,-0.5593381060085049,-0.7337418838850841,-0.5384127228968948,-0.00940987748493543,-0.7687403701895098,0.19712514110420418,0.034252682003879244,-0.09261144542823986
j,2.98883814557395,1.8080440063055299,-0.919523263399873,2.1932934894818414,-0.6469407634867975,1.1455730935361914,0.11481954973822157,0.10227048742906762,0.17857693265584493,1.2432494332551287,0.2675328031990528,0.5420638122984814,-0.5133146607269001,0.2046902211990968,-0.18751535206104103,0.3209152595139961,-0.13096616143871787,-0.09048001962955826,0.05358651261008733,-0.10268098166717063
k,0.6211990693059489,0.22742893079189153,0.750747509361437,0.02873036949376252,0.07152796198114207,-0.4981968935576573,0.2728028965349212,0.6368774098260505,-0.7777864023645849,0.23791521111066796,0.6570587637471599,-0.11099119623982846,0.10175307376873552,0.3934877050551724,0.6476611615162067,0.11078180881641192,-0.1235882535358527,0.30346058922787283,-0.1437427371926864,-0.0462109362267569
