cipher_symbol,letter
68,A
126,A
23,A
141,A
127,A
1,A
53,A
99,A
123,A
130,A
160,A
75,A
117,A
154,B
2,B
148,C
166,C
80,C
147,C
56,C
95,D
66,D
162,D
110,D
6,E
62,E
133,E
51,E
15,E
59,E
91,E
63,E
105,E
156,E
35,E
137,E
108,E
165,E
103,E
64,E
85,E
89,E
155,E
48,E
46,E
88,F
25,F
142,F
122,F
44,G
115,G
82,G
33,H
134,H
47,H
167,H
16,H
73,H
8,H
49,H
144,H
5,H
129,I
43,I
161,I
93,I
152,I
106,I
78,I
158,I
76,I
57,I
69,I
94,I
120,I
119,I
170,J
40,K
139,L
20,L
27,L
153,L
9,L
79,L
169,L
26,L
81,M
52,M
121,M
163,M
112,N
157,N
171,N
96,N
41,N
124,N
60,N
65,N
71,N
107,N
116,N
102,N
97,N
143,O
54,O
125,O
10,O
128,O
11,O
37,O
135,O
3,O
159,O
22,O
104,O
28,P
34,P
45,P
150,Q
32,R
4,R
55,R
145,R
24,R
58,R
42,R
109,R
13,R
168,S
50,S
98,S
92,S
38,S
132,S
86,S
77,S
136,S
39,S
29,S
31,T
151,T
67,T
30,T
21,T
100,T
72,T
114,T
131,T
18,T
7,T
149,T
140,T
83,T
138,T
164,T
84,T
118,U
111,U
70,U
146,U
19,V
12,V
113,W
61,W
101,W
74,W
36,X
87,Y
14,Y
17,Y
90,Z
