cipher_symbol,letter
1,H
10,E
100,H
101,G
102,S
103,M
104,O
105,N
106,N
107,A
108,B
109,W
11,L
110,R
111,Y
112,E
113,O
114,E
115,H
116,O
117,A
118,H
119,E
12,D
120,E
121,E
122,I
123,E
124,U
125,K
126,A
127,E
128,H
129,U
13,C
130,A
131,I
132,W
133,S
134,S
135,H
136,I
137,I
138,L
139,D
14,I
140,R
141,L
142,U
143,E
144,H
145,S
146,A
147,I
148,A
149,K
15,A
150,W
151,Z
152,E
153,O
154,E
155,O
156,T
157,O
158,S
159,H
16,D
160,A
161,I
162,E
163,T
164,S
165,D
166,H
167,T
168,S
169,T
17,T
170,S
171,C
172,H
173,L
174,S
175,R
176,M
177,I
178,V
179,K
18,P
180,H
181,F
182,Y
183,I
184,F
185,N
186,H
187,T
188,H
189,O
19,S
190,E
191,M
192,M
193,M
194,R
195,I
196,U
197,F
198,O
199,W
2,A
20,U
200,D
201,C
202,H
203,F
204,H
205,M
206,A
207,S
208,A
209,E
21,T
210,R
211,W
212,S
213,E
214,W
215,D
216,B
217,D
218,I
219,T
22,Y
220,W
221,A
222,D
223,R
224,Y
225,A
226,A
227,N
228,R
229,V
23,I
230,S
231,H
232,B
233,H
234,L
235,T
236,N
237,I
238,K
239,R
24,N
240,A
241,T
242,L
243,W
244,E
245,V
246,L
247,Y
248,R
249,F
25,U
250,P
251,T
252,T
253,C
254,E
255,P
256,H
257,E
258,H
259,S
26,N
260,A
261,F
262,T
263,Q
264,L
265,O
266,O
267,M
268,S
269,O
27,O
270,C
271,I
272,T
273,N
274,T
275,E
276,O
277,E
278,D
279,L
28,T
280,O
281,T
282,O
283,H
284,O
285,H
286,A
287,I
288,O
289,I
29,O
290,N
291,S
292,N
293,I
294,E
295,G
296,I
297,I
298,N
299,E
3,S
30,B
300,D
301,T
302,R
303,Y
304,E
305,L
306,T
307,E
308,I
309,M
31,E
310,O
311,R
312,O
313,H
314,A
315,O
316,E
317,A
318,Q
319,G
32,F
320,G
321,I
322,L
323,F
324,M
325,E
326,T
327,F
328,O
329,O
33,F
330,I
331,G
332,T
333,C
334,C
335,I
336,I
337,G
338,E
339,T
34,I
340,T
341,M
342,J
343,K
344,O
345,O
346,H
347,Y
348,D
349,H
35,U
350,E
351,O
352,E
353,A
354,T
355,N
356,R
357,D
358,E
359,Y
36,M
360,N
361,B
362,W
363,B
364,R
365,N
366,E
367,L
368,X
369,N
37,D
370,H
371,H
372,S
373,V
374,C
375,Y
376,S
377,H
378,N
379,S
38,N
380,E
381,D
382,W
383,A
384,W
385,I
386,R
387,E
388,L
389,S
39,E
390,D
391,S
392,E
393,L
394,N
395,W
396,L
397,E
398,E
399,A
4,D
40,T
400,T
401,R
402,N
403,N
404,L
405,T
406,I
407,A
408,E
409,A
41,H
410,L
411,E
412,R
413,H
414,P
415,W
416,E
417,E
418,O
419,U
42,B
420,T
421,I
422,N
423,O
424,N
425,A
426,E
427,T
428,D
429,B
43,E
430,T
431,L
432,E
433,I
434,A
435,S
436,O
437,S
438,P
439,S
44,T
440,E
441,C
442,O
443,I
444,T
445,O
446,Y
447,T
448,E
449,G
45,D
450,I
451,S
452,A
453,G
454,F
455,G
456,H
457,E
458,A
459,W
46,E
460,T
461,T
462,E
463,A
464,H
465,N
466,A
467,O
468,K
469,E
47,T
470,E
471,S
472,H
473,E
474,E
475,S
476,I
477,D
478,T
479,E
48,G
480,N
481,U
482,N
483,U
484,O
485,S
486,U
487,U
488,T
489,R
49,O
490,N
491,N
492,F
493,T
494,A
495,E
496,U
497,D
498,T
499,E
5,E
50,L
500,E
501,U
502,L
503,R
504,T
505,H
506,R
507,W
508,U
509,I
51,E
510,R
511,Y
52,N
53,H
54,O
55,T
56,O
57,A
58,I
59,T
6,O
60,R
61,A
62,T
63,N
64,A
65,O
66,D
67,L
68,O
69,V
7,H
70,T
71,A
72,G
73,N
74,E
75,R
76,R
77,U
78,D
79,Y
8,N
80,H
81,D
82,A
83,L
84,O
85,G
86,I
87,S
88,D
89,A
9,S
90,A
91,H
92,L
93,Y
94,R
95,L
96,F
97,O
98,H
99,E
