plaintext_letter,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19
a,1.0586387007142684,-0.7140005830595665,-0.254668352711245,-0.10525034699235372,0.7437590085874121,0.34818267244048867,-0.16899422319194882,0.09382655777811327,-0.32326041249096577,-0.026531165197307822,-0.07325654267495416,0.01787796212752916,-0.6624166068194807,-0.08315730640161471,-0.21124706499729878,-0.1595783845415997,0.20230587978925824,0.06945973898656493,-0.051435397170225786,-0.20019503645441217
b,1.2589537164055344,0.6542653664170542,-0.47410630928468445,-0.060625812678091744,0.9059774232089437,-0.22126849070622734,-0.3257343413856967,-0.3445220452871431,-0.3147630849155502,0.9957336886516115,0.1935544317828251,0.27413189118982934,-0.17028236804029337,0.06261106576103725,-0.009269062340755297,0.1120284933714408,-0.2536084326594525,0.040010559597462386,0.040068367884096096,0.07269187933853001
c,0.7594426405584417,0.5240740907697818,-0.28230467339472987,0.08870736828161421,0.2201434645415665,0.33024476253687207,-0.029852810276394658,0.3573023727095652,0.2419572898047251,-0.08793863027407456,0.006546300519818316,0.29810331719483213,-0.27745033265959507,-0.16470186982984258,-0.05118233566540523,0.28593912009721806,-0.039592560276013745,-0.010694499910334929,0.11211771108094909,-0.21091512942164567
d,0.47222420444624574,0.45854749323697835,-0.13205642669358783,0.02387443789114685,0.09885504965674291,0.24404999601571503,-0.033494694623433914,0.012827075118400354,-0.03545697580720171,0.0016807116991353409,0.03671083191938384,0.10816563485026813,0.4397395312020122,0.12866832887356064,-0.29417103136054473,-0.0218189134061141,0.18560635680776422,0.2474013163720677,-0.04706947366439128,-0.08968465660379538
e,1.1273897985989576,-0.649218827932621,0.7789235190371391,0.3989862822639478,-0.44433969722817174,-0.0415266583639585,0.8013207767014923,-0.3910912991234954,-0.18464601902261532,-0.1743908057233401,0.3068873958587971,0.3661814107795919,-0.048551984370570525,0.24721441813291012,-0.016892638298307124,-0.10285487090012234,0.028312416450681305,-0.20593448992156757,0.2564677326701543,-0.2564411989655209
f,0.6764004351081568,0.3925637923756617,0.3870305467602981,-0.2506484132512754,-0.05153128370714174,-0.16503157730079338,0.7400918454647554,0.6028477115371796,0.21082964522115766,0.21583246304255846,-0.19397813303920608,-0.16980925078654877,-0.2107724396553347,0.49366176985258714,0.325130694334144,-0.10846254539471574,-0.17659541532844775,0.08987415355529187,0.10241489381873072,0.05250517837201303
g,0.5007011836319372,0.5140062071244721,-0.07674254348995356,0.1623708029607366,-0.1471708628761887,0.7998638484968638,-0.12946554370196484,0.1862784434001508,0.4386251526740225,-0.11043740614625228,0.18275736151890143,0.450263392495404,0.10711144638542686,0.1356562169048374,-0.11376179198762923,-0.28382124652927154,0.0818263933968177,0.10569142686109373,0.21672456003302545,0.2754783611497077
h,0.36095942859999336,-0.1686545056118564,0.24776987111279225,-0.19740176455060915,-0.02386729250443534,0.3616041148328556,-0.28358173425547956,0.3243405774367177,-0.6424843862913129,0.017617642233896662,0.7596169636426673,-0.6412133127854666,0.16022803219057716,-0.22381817694852466,0.2808342679276339,0.014726486533938352,0.10995467108390328,0.019394958947821297,0.20869253878529526,-0.03488336826519406
i,0.7829806671548463,-0.5660921468840321,0.1999757461357065,-0.2836013010699589,-0.32956580101041355,1.1245504945292062,0.5963328856132737,-0.09324485815022515,-0.787600027453676,0.03378280228025822,-0.08251304052351992,0.08218983074157922,0.09682227650583147,0.17988406663964931,-0.0004678050070747891,0.15085719772099393,-0.11940686894277375,0.20827119588854695,-0.2615062454608778,0.08777566359315805
j,1.2499628492796158,0.8754375002343906,-0.4882430601999774,0.00557338198979758,0.2888366732691754,-0.1993729127038186,0.40983265251320045,0.4716811271530767,-0.1080096373948108,-0.5821468298618645,-0.15877821911860265,-0.298890404971803,-0.054302569899341596,-0.2176242574824933,-0.09606798434660631,-0.30834350373448444,-0.2581820014772597,-0.06549192181496837,-0.18531974966693554,-0.04247334558060556
k,0.5114034498369328,0.06640644797600107,-0.014408397134825522,0.0038009169955793487,0.3517445267352375,0.33560890543163535,0.13277108288199987,0.5071827434246805,0.31914027559592467,0.3469763729644917,-0.1711841713620487,-0.1945791405881181,0.4718714485952977,-0.09010975903620808,-0.20332965030591713,-0.06139351687195854,-0.05609599229872713,0.07628862174983538,0.10173696347680553,-0.20640548632512334
l,1.091148129543778,0.3496112831265888,-0.3962067004043738,0.2189711335090559,1.2589447447055402,0.1556056440206522,0.06082312628520197,-0.48320454252191786,-0.06339678490094998,0.1384463597873924,0.07830856623832605,-0.06838250973636599,0.3851714346826804,0.1074675320349481,0.1277958493806833,-0.29670389303001304,0.06419162642445478,-0.2986214114880446,-0.0723480333884198,0.016152215751682325
m,0.6093240086952159,0.2157821567480391,0.05816051719543767,-0.09044764858433556,0.17739128214840216,-0.018481551816651384,0.16450377205128866,0.336811035567774,0.19347741039086416,0.24747559046335302,-0.3347038312568613,-0.05467302955005302,0.2512075738126064,-0.19303632039060273,0.011584479800602308,0.26592441035607206,0.04770636497942021,0.044849556590624215,0.09749131053669474,-0.11971056134338177
