plaintext_letter,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19
a,1.5235323637602414,-0.6715493682177766,-1.1016019119723484,0.2288510724771841,-0.13813194230484568,0.2857255527194006,0.9107809218154576,-0.3288883658326,-0.18453554896000837,0.3135147150580752,0.08091201526081579,-0.5048023845009029,0.09883209251780675,-0.10599747529547775,0.18330697076507274,-1.120904590359739,-0.44939165992481805,0.5425606424762957,0.047639186951422094,-0.14924848071050043
b,1.6907599972341918,0.5017308878325487,1.311017989229422,0.772829442651905,-0.437853933249353,0.04319379418184683,1.2522981981569756,0.027871034061912665,0.09500513839107001,-0.32199392579562286,0.2756889013551017,-0.017083876710379337,0.2276439204730861,0.602575586205,-0.0598054164340998,0.4356953560586793,-0.21046228732323236,-0.07503828976405788,-0.35032795733072464,-0.03170905823524827
c,2.1227314737181127,-0.39224689790658385,2.144444103891072,-1.5874870641258298,-1.4025356032543341,-2.0951320549657835,-0.07093315357288914,0.39511596059334675,-1.0467596781399386,0.08258896448130637,-0.07463309787626782,-0.4349294486485809,-0.1432984563661779,-0.3066603265750029,-0.2673359212279337,-0.25077323768130066,0.018022042622258823,-0.07699308827075915,-0.0776161717830121,0.03123548167455627
d,0.9006284012989726,-0.2821956546086337,-0.05981578691902946,-0.29722044148358484,0.9040148517041646,0.29337636051660826,0.15607082034648456,1.1992394611560055,0.44069853150024146,0.42700094898972646,0.17151504613569063,-0.23820557415415683,0.0861331212409145,-0.7049352009822278,-0.5885889360818276,0.43655112405507845,-0.529581933476809,-0.3191674324198892,0.10817110318333766,-0.16269860579361958
e,2.4578659941948127,-2.338305752191043,-0.4056954775198216,-1.4879916434065317,0.5328891203470262,-0.8786574174480299,-0.42805340725620494,-0.8706446771964438,0.2835284875137917,-0.003165892530002162,-0.5832817196311979,0.7729115257952368,0.2796287299644149,0.3446568549079092,-0.3818209753102655,0.32501111961959844,-0.14260826754774347,0.2176902642392324,0.32759533759487336,0.11711227990208468
f,1.031766113457815,0.7782964197967605,0.14392670980067454,0.3258445762188438,1.236302628745801,-0.4405736478448117,-0.12777810773373433,-0.3750108297974554,-1.1420692620842994,-0.2942038437099955,0.2893182984029474,-0.23158980388235284,-0.09202221231122892,0.07838353482342707,1.0304617693206626,0.19922430524000667,-0.06947815597401097,-0.23094322508436238,0.35142873492430277,0.033565517526873645
g,0.3868866500518127,-0.25854148395352594,-0.025334227165967834,0.12182480541111872,0.28700453001839676,-0.09498269598221358,0.15529965725981348,0.34882418396676684,0.2823490115701307,0.92263588278378,0.9424485876929446,-0.7420286311808815,0.6511571783327812,-0.32172997330169967,0.09932852525666681,0.09510757015002178,-0.08495951018887223,0.026717455121649223,0.19539510861146067,0.3822503178165344
h,0.7664256587388537,0.7322729450386952,-0.4321693629314902,0.224342974341533,0.04286034398582352,-0.2479961262809215,-0.6103132660716099,0.8105739465128521,-0.2794216487147656,0.6039052699708358,0.670518177125714,1.123792762406235,-1.0107603596390666,0.3149604312592313,0.1315471431181957,-0.18027217455913006,-0.4713708417460866,-0.056689697466737084,0.0581614701954119,0.13417736034021932
i,1.3841170368490476,-1.2244798725556068,-0.4881981756090134,-0.5709763359841598,0.32040281839203427,-0.8403877364763648,0.3457955486559472,-0.4129209326089144,0.5602862559240865,1.0224683245004509,1.1301727001019817,0.2069706780899745,0.1708495012253601,0.40640355787859067,0.37583532102131184,0.053122559330286825,0.5263858388182395,-0.1187815380534154,-0.2558615641919723,-0.21128867022781211
j,1.4621804613177334,1.979167620396441,0.24603721365236844,-0.23574988911000658,1.7915099038830873,-0.3155025153946247,-0.14621259934477587,-1.2518602144544104,0.12061015043851145,-0.4102232275418259,0.44897497745783616,-0.10537729274937492,0.10660503931013124,0.22315025251589157,-0.660429272907649,-0.44993158605148736,-0.36632699485700987,-0.3310471391380896,-0.10088777353753085,-0.12445823292517938
k,1.1707629303985356,0.4929950355739816,-0.7879950480057059,-1.2797208172166743,-0.6487800838003839,1.4209959289386016,-0.051329705136101605,-0.017576450292517115,-1.1582357244552286,0.48243491881248185,-0.1156215352371507,-0.25885362693938596,0.03763282469933096,0.06152143689580485,-0.21351042408843726,0.1071896784698079,0.341242991798572,-0.2686474060400776,0.01826623584264936,-0.187164371253712
l,1.8092018807330679,0.28752789266158485,0.8688808239678311,0.5412730616929117,-0.9461647869090662,0.19477034721910635,1.7278765050406752,0.6736183413147586,0.4916572221516178,-0.21132883064655275,-0.3721409968131869,0.28829007999729656,0.21963573678802775,0.23892607427903192,0.24113335095287655,-0.23808708870465795,-0.018034003672908517,-0.333034244360323,0.28592604351561934,-0.06636855579885571
m,1.4957626507605293,1.2229390218436322,1.0945709782075737,0.2098156300514685,0.3490010519521427,-0.04716663658118387,0.7031466811503017,0.2885650306712097,-0.12370281437609358,-0.4067408617524806,0.09729457686025522,0.09455771713149629,0.43570173413362995,0.3733238522753248,-0.08219845580445097,0.056195970536598625,0.1223869928426523,0.2132572049235973,0.10137802734090935,0.26420812006350575
